"","card","description","type","status","category","sub_category"
"209","MS Excel VBO - Cell values containing newline characters will (1) be surrounded by quotes and (2) corrupt the table","**ISSUE**
Cell values containing tab or newline characters will be surrounded by quotes.

Example:
*Westwood Plough & Harrow
May*
becomes
*""Westwood Plough & Harrow
May""*

Cell values containing newline characters will also shift the remaining cell values on the right onto a new row, corrupting the table. A screenshot has been attached.

**IMPACT**
Loss of data integrity. Corruption may occur silently, and processes may be impacted without any obvious symptoms.

**ROOT-CAUSE**
Both _MS Excel_ and _MS Excel VBO_ objects use unreliable methods of reading in Excel files as a collection (e.g. splitting by newline and tab characters).

**WORK-AROUND**
1) Cleanse all cell values of newline characters and quotation marks, but this has its own problems (e.g. cell values are no longer in their original form, which may not be acceptable under some circumstances).

2) Read in Excel files using OLE DB, which has its own problems (e.g. OLE DB automatically assigns a data type to each column, sometimes incorrectly, with no option for overriding).

**RESOLUTION**
—

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Completed (old)","MS","MS Excel Cell values containing newline characters will (1) be surrounded by quotes and (2) corrupt the table"
"210","P42 - INCORRECT ENTRIES APPEARING ON PURPLE TEAM REPORT","**ISSUE**

**IMPACT**

**ROOT-CAUSE**

**WORK-AROUND**

**RESOLUTION**

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Completed (old)","P42","INCORRECT ENTRIES APPEARING ON PURPLE TEAM REPORT"
"211","INFRA - VM62 has Adobe DDE fatal error pop up causing process to freeze","**ISSUE**
VM62 has Adobe DDE fatal error pop up causing process to freeze

**IMPACT**
block all processes on that VM

**ROOT-CAUSE**
1. default printer got reset (should be Microsoft printer)
2. adobe registry key got reset to AcroviewA17 () (https://trello.com/c/SvoyFuc8)

**WORK-AROUND**
1. set default printer to microsoft printer
2. change registry key to AcroviewR17 

**RESOLUTION**
https://trello.com/c/HdPgryke/122-in02-vm-maintenance-develop-solution-for-automatically-performing-maintenance-checks-on-production-vm-runtime-resources
https://trello.com/c/UnC8K8hW/1946-ins09-handle-for-adobe-known-errors

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Completed (old)","INFRA","VM62 has Adobe DDE fatal error pop up causing process to freeze"
"212","P14 - Sydney Student Web V3 Object not detecting Exit button on Graduand Information Page","ISSUE:


IMPACT: 
Bot Process Output report will be lost with no possibility of recovery

ROOT - CAUSE:
Process has no ""write as you go"" solution to an excel file or queue storage option

WORKAROUND:
Two solutions:
1.
Run bot in debug mode and breakpoint on the main page recover stage to stop the bot and manually process the exception. 

2.
Rely on existing exception handling to write out the output data as per the existing code.

RESOLUTION:
Add an additional queue to store this data or use a ""write as you go"" solution to write data to a form of non-volatile storage.","PROBLEM","Completed (old)","P14","Sydney Student Web V3 Object not detecting Exit button on Graduand Information Page"
"213","OUTLOOK - application keeps putting processes into warning state (pop-up saying ""Outlook has stopped working"")","ISSUE
Process frozen with pop-up window message ""Outlook has stopped working"".

IMPACT
Process unable to continue working

ROOT-CAUSE
Unknown (Outlook issue)

WORKAROUND:
Log into VM and close outlook, then process will start again.

RESOLUTION
Raise ticket with ICT to disable automapping for shared mail boxes
https://support.microsoft.com/en-us/help/2646504/how-to-remove-automapping-for-a-shared-mailbox-in-office-365","PROBLEM","Completed (old)","OUTLOOK","application keeps putting processes into warning state (pop-up saying ""Outlook has stopped working"")"
"214","PEOPLESOFT - application is being upgraded and will be effecting processes","ISSUE
PeopleSoft is being upgraded and the UI might be effected

IMPACT
P13 and P3 might be effected

ROOT-CAUSE
PeopleSoft upgrade

RESOLUTION
1. Assess changes for each process
2. Implement changes","PROBLEM","Completed (old)","PEOPLESOFT","application is being upgraded and will be effecting processes"
"215","INFRA - processes terminating from ""Timeout Expired"" exceptions when attempting to communicate with the database","**ISSUE**
process terminated with error message ""Execution Timeout Expired.  The timeout period elapsed prior to completion of the operation or the server is not responding."" & ""The request channel timed out while waiting for a reply after 00:00:00. Increase the timeout value passed to the call to Request or increase the SendTimeout value on the Binding. The time allotted to this operation may have been a portion of a longer timeout.""

**IMPACT**
processes terminate when attempting to load cases to the Queue

**ROOT-CAUSE**
Database performing slowly because of the ""BPASessionLog_NonUnicode"" and ""BPASessionLog_NonUnicode_pre65"" tables being larger then expected. Blue Prism recommends that the SessionLog tables have automatic archiving setup on them so that they do not build up to overly large amounts. This automatic archiving was not originally setup when the environment was initially deployed.

**WORK-AROUND**
Monitor the environment and restart processes when needed

**RESOLUTION**
1. Clean the ""BPASessionLog_NonUnicode_pre65"" table: Remove the table from the Blue Prism database as recommended by Blue Prism (see ""confirmation on dropping pre65 table.pdf"").
2. Clean the ""BPASessionLog_NonUnicode"" table: Run the ""remove-logs.sql"" script on the Dev Environment to test the outcome. The table was cleaned, however an unexpected error message occurred after the table was cleaned (An explicit value for the identity column in table 'BPASessionLog_NonUnicode' can only be specified when a column list is used and IDENTITY_INSERT is ON.) which caused the script to attempt to rollback. However, when the script attempted to rollback it failed and the outcome was that the 'BPASessionLog_NonUnicode' stayed cleaned.

**LESSONS**
GOOD: Communication with Users, Customers and Sponsors to keep them updated on the problem as well as the collaboration with ICT to resolve the problem was excellent.
IMPROVEMENT: Communication and responsiveness from the Blue Prism Vendor to assist with resolving the issue could have been better. Additionally next time an environment database is setup we will make sure to check the automated archiving is setup.
LUCKY: We have access to run scripts on the database for root-cause analysis and resolution.

<U+2506>Attachments: [image.png](https://trello-attachments.s3.amazonaws.com/5cf0cc2b0adf2513d6b20528/5cf46bf93427834194f483d8/a8a5f7590076ee6f4d34cf3ef94d2ab8/image.png)
","PROBLEM","Completed (old)","INFRA","processes terminating from ""Timeout Expired"" exceptions when attempting to communicate with the database"
"216","INFRA - application server service randomly stopping","ISSUE
application server service randomly stopping

IMPACT
all running processes are put into Frozen mode until completed and no other processes are able to run from the process schedule

ROOT-CAUSE
Database stuck in deadlock from a combination of Application Server calling large volume of small requests and Power BI calling small volumes of extremely large requests (see ""deadlock.jpg"" image)

WORK-AROUND
Monitor application server to identify when it stops

RESOLUTION
IMPROVE APPLICATION SERVER ROBUSTNESS:
1. Setup Blue Prism Server service settings so the service first, attempts to restart when it fails whilst also sending a notification to the run team; second, restarts the VM and then the service will restart; And if that doesnt work, then the VM will continuously attempt to restart the service
2. Setup Second Application Server to share the resource loading 
3. Stop running Power BI small volume / extremely large requests (see ""deadlock.jpg"" image) when processes are running in the Production Environment","PROBLEM","Completed (old)","INFRA","application server service randomly stopping"
"217","SITS - pop up when fails to save file to share drive","**ISSUE**
INS03 will terminate sometimes when SITS generate a pop up for saving file to share folder

**IMPACT**
minimal, rerun process

**ROOT-CAUSE**
TBD

**WORK-AROUND**
close pop ups and rerun the process

**RESOLUTION**
https://trello.com/c/322pArLX/215-in03-sits-popup

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Completed (old)","SITS","pop up when fails to save file to share drive"
"218","SITS - unexpected pop-up causing all processes to terminate after attempting to login to SITS","ISSUE
unexpected pop-up causing all processes to terminate after attempting to login to SITS

IMPACT
the following processes were effected:
- P8
- P12
- P15
- P24
- P27, P32
- P28
- P30
- P34, P35, P36
- P44

ROOT-CAUSE
SITS Pop-up (see image)

WORKAROUND
Monitor processes that use SITS and click OK when the pop-up occurs

RESOLUTION
- update the two objects that handle launching and logging into sits (1) SITS; and (2) SITS_Launch and Navigate.
- make the update so that after the bot clicks the OK button on the Message Notice Board, it checks if the ""Run"" button can be seen on the expected window that should have opened. IF its not open, THEN check for the pop-up. IF the pop-up exists, THEN click the OK button on the pop-up and attempt to continue (see image)
- re-sync the changes in PROD back into DEV","PROBLEM","Completed (old)","SITS","unexpected pop-up causing all processes to terminate after attempting to login to SITS"
"219","P23 - Credit Applicant Document Upload - process stuck in warning state on Manage Students Screen","ISSUE
process stuck in warning state (VM62) on Manage Students Screen (3:30pm). this issue has occurred on the following days:
- 17th May
- 21st May
- 29th May

IMPACT
Process gets stuck in warning state until manaully actioned

ROOT-CAUSE
There might be some wait required after entering requester identifier and before selecting the checkbox, because application takes a second to refresh the table.
We can confirm this after multiple runs in Prod.

RESOLUTION
Add 5 seconds of wait.
Please monitor the process after deploying Sydney Student(Web) object","PROBLEM","Completed (old)","P23","Credit Applicant Document Upload - process stuck in warning state on Manage Students Screen"
"220","INFRA - unexpected network outage causing multiple processes to terminated","**ISSUE**

**IMPACT**

**ROOT-CAUSE**

**WORK-AROUND**

**RESOLUTION**

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Completed (old)","INFRA","unexpected network outage causing multiple processes to terminated"
"221","SITS - pop up saying that various licenses will expire in a number of days when attempting to launch SITS","ISSUE
multiple pop ups saying that various licenses will expire in a number of days when attempting to launch SITS and after attempting to login

IMPACT
https://trello.com/c/8p6L6Mlk/1378-p41-graduate-in-absentia-queue-processor-process-terminated-on-rpaspr00062
https://trello.com/c/ndCq4XuJ/1385-p34-email-sid-labelling-scholarships-process-terminated-on-rpaspr00016
https://trello.com/c/m8nb6X9b/1386-p8-sas-email-title-change-v2-process-terminated-on-rpaspr00016
https://trello.com/c/aGV8TIYF/1384-p36-email-sid-labelling-fees-process-terminated-on-rpaspr00063
https://trello.com/c/PEoElQW9/1381-p26-diet-rule-override-queue-loader-process-terminated-on-rpaspr00059
https://trello.com/c/6K6fUP7E/1380-p32-scholarship-application-detail-check-queue-processor-process-terminated-on-rpaspr00058
https://trello.com/c/kgoMY554/1379-p42-admissions-reporting-process-terminated-on-rpaspr00079

ROOT-CAUSE
TBC

WORK-AROUND
watch processes running that use SITS and press ""OK"" when the pop-up occurs

RESOLUTION
update launch and login functions of SITS (object named ""SITS"", ""SITS_Launch and Login"", and ""Sydney Student (Backend) - Launch and General"") so that they can handle for these pop ups in the future.
Unable to launch pages:
1. check ""OK"" button exists
2. click ""OK"" button then wait 1 second
3. IF ""OK"" button still exists THEN retry 10 times until its gone ELSE continue to wait for launch
Unable to Login pages:
1. check ""OK"" button exists
2. click ""OK"" button then wait 1 second
3. IF ""OK"" button still exists THEN retry 10 times until its gone ELSE continue to wait for login","PROBLEM","Completed (old)","SITS","pop up saying that various licenses will expire in a number of days when attempting to launch SITS"
"222","INFRA - processes stop running or get stuck in warning state because of JAVA update Pop-up","ISSUE
processes stop running or get stuck in warning state because of JAVA Installation Pop-up

IMPACT
process cant run on VM 

ROOT-CAUSE
Java update pop-up

WORK-AROUND
Manually close Java update pop-up

RESOLUTION
https://trello.com/c/MXZm1gqe/1909-ins08-handle-for-java-installation","PROBLEM","Completed (old)","INFRA","processes stop running or get stuck in warning state because of JAVA update Pop-up"
"223","INFRA - Network outage effecting multiple processes","**ISSUE**
Network outage effecting multiple processes. This outage seems to be related to the ""RCD Testing"" that needs to be applied each month (see comments below). Because this is a monthly activity performed by CIS it is likely to occur again in the future.

**IMPACT**
various processes terminated

**ROOT-CAUSE**
RCD Testing

**WORK-AROUND**
rerun processes

**RESOLUTION**
https://trello.com/c/GF7n6ead/2898-infra-run-vm-maintenance-process-on-all-vms#

**LESSONS**
GOOD: Identified early what the root-cause was
IMPROVEMENT: Setup VM Maintenance process to run next time RCD Testing happens
LUCKY: Sean and Bianca are quick to resolve incidents","PROBLEM","Completed (old)","INFRA","Network outage effecting multiple processes"
"224","SITS - cannot connect to specific instance of SITS Client","**ISSUE**
Unable to access specific instance of SITS Client

**IMPACT**

- SITS crashes upon launching - white 'Uniface' window opens instead of SITS Client window
- Access error upon launching SITS Client insufficient permissions
- Unable to access shortcuts folder

**ROOT-CAUSE**

- Firewall settings blocking program from launching
- Insufficient permissions on shared unikey

**WORK-AROUND**
Use a different instance of SITS if available/appropriate

**RESOLUTION**
Contact ICT to request:

- Access to both shortcuts folder and .exe file (pointed to by shortcut) locations (if access error)
- Firewall settings for particular server be changed (if uniface error)


**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Completed (old)","SITS","cannot connect to specific instance of SITS Client"
"225","BLUEPRISM - BluePrism application randomly stopped working","**ISSUE**
resource pc can crash on the PROD VM

**IMPACT**
running process will stuck in warning
no process will run afterwards

**ROOT-CAUSE**
https://trello.com/c/06YpffOv/244-p89-input-grades-for-internal-students-process-keeps-terminating

**WORK-AROUND**
https://trello.com/c/7nolXCTL/239-m05-session-duration-monitoring#

**RESOLUTION**
https://trello.com/c/06YpffOv/244-p89-input-grades-for-internal-students-process-keeps-terminating

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Completed (old)","BLUEPRISM","BluePrism application randomly stopped working"
"226","PROCESS - P9/P37 cannot move email to fail folder with error message ERROR: Internal : Could not execute code stage because exception thrown by code stage: The operation failed.","**ISSUE**
process cannot move email randomly

**IMPACT**
process terminate

**ROOT-CAUSE**
Move Email stage fails if email has already been moved/deleted

**WORK-AROUND**
Re-run process

**RESOLUTION**
https://trello.com/c/DTcSv8N7/2510-p37-complex-bookings-queue-processor-rework-mail-moving-logic-in-recovery-path

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Completed (old)","PROCESS","P9/P37 cannot move email to fail folder with error message ERROR: Internal : Could not execute code stage because exception thrown by code stage: The operation failed."
"227","IN03 - SITS popup","**ISSUE**
SITS sometimes will generate a pop up saying the file is failed to save in share folder (even though the file is actually saved), and the pop up will block the process from interacting with SITS

**IMPACT**
TBC - terminated

**ROOT-CAUSE**
TBC

**WORK-AROUND**
Manually close popups, restart SITS, and rerun process 

**RESOLUTION**
TBC

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Completed (old)","IN03","SITS popup"
"228","BluePrism - Schedule failure logs are not created when a schedule is failed","**ISSUE**
Recent scheduler activities are not logged. If a process is manually started from the scheduler using the ""Run Now"" option and the VM that the initial task is scheduled to run on, then the Application Server will fail to start the schedule and throw the below three sequence of ""information"" messages in the windows blue prism application logs (P21 schedule as an example). However, 

*1. FIRST INFORMATION MESSAGE*
""BPServer.ServerService
Scheduler: 'P021 - Daily at 4am - VM98 / VM103 : [17/10/2019 04:00:00]': Firing""

*2. SECOND INFORMATION MESSAGE*
""BPServer.ServerService
Scheduler: 'P021 - Daily at 4am - VM98 / VM103' is still being executed from the instance at 16/10/2019 4:00:00 AM""

*3. THIRD AND LAST INFORMATION MESSAGE*
""BPServer.ServerService
Scheduler: Trigger Suppressed: P021 - Daily at 4am - VM98 / VM103 : [17/10/2019 04:00:00]""


**IMPACT**
1. scheduler anomaly monitoring will not work
2. run team does not have visibility on a failed schedule

**ROOT-CAUSE**
The user account that the Application Server uses to connect to the BluePrism database does not have access to send mail, which is a function one of the stored procedures needs.

**WORK-AROUND**
manually checking the schedule for critical processes

**RESOLUTION**
Update the access needed for the send mail function (see attached image)

**LESSONS**
GOOD: quick resolution (within 8 hours of being identified)
IMPROVEMENT: improve testing methods used when changing database access connections for application servers
LUCKY: @tylorbunting3 and @seanxiang4 have advanced SQL and Infrastructure skills","PROBLEM","Completed (old)","BluePrism","Schedule failure logs are not created when a schedule is failed"
"229","INFRA - high number of processes terminating from various existing Problem Ticket issues","**ISSUE**
high number of processes terminating from various existing Problem Ticket issues

**IMPACT**
minimal impacts as processes were terminating only over the weekend

**ROOT-CAUSE**
ICT Planned VM Maintenance effecting VMs and then the Prod Monitoring Tool was down from the VM Maintenance which disabled the Run Team from receiving notifications about the issue

**WORK-AROUND**
Rerun all processes

**RESOLUTION**
1. https://trello.com/c/xgahRjKH/3311-infra-investigate-splitting-vm-maintenance-bot-schedule-into-groups-so-it-does-not-get-stuck-in-pending#
2. https://trello.com/c/PJuJiIBr/3312-infra-investigate-how-the-monitoring-tool-can-be-monitored#

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Completed (old)","INFRA","high number of processes terminating from various existing Problem Ticket issues"
"230","SITS Client - SITS v9.7 upgrade causing multiple processes to terminate","**ISSUE**
SITS upgrade prevents robot_framework log into SITS Client

**IMPACT**
Critical, no process can log into SITS Client

**ROOT-CAUSE**
Sydney Student Team need to update the access in the new version

**WORK-AROUND**
call ICT sydney student team
INC0093670

**RESOLUTION**
INC0093670

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Completed (old)","SITS","SITS SITS v9.7 upgrade causing multiple processes to terminate"
"231","P6 - Fail to download attachments from HR ServiceNow through API","**ISSUE**
HR ServiceNow API outage

**IMPACT**
process terminates but usually will work in the next rerun, minimal business impacts

**ROOT-CAUSE**
ServiceNow API service outage

**WORK-AROUND**
no work-around needed because process works next run

**RESOLUTION**
NA - issue asumed to be related to ServiceNow infrastructure

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Completed (old)","P6","Fail to download attachments from HR ServiceNow through API"
"232","INFRA - processes stuck in ""pending"" status in the control room","ISSUE
processes stuck in ""pending"" status in the control room. The following have been effected:
- P19 Queue Loader (VM30) - process was stuck in pending on 23 April 2019
- P13 - HazMat Ordering - Enter Jaggaer Requisitions V2 (VM17) - process was stuck in pending for 1 day and then when it was started manually on 01 May 2019 10:28:50:007 it terminated instantly
- P6 - HR Allocation (VM00) - 11th May, process was stuck in pending during the weekend, restarted on Monday 13th May
- P6 - HR Allocation (VM00) - 15th May process stuck in pending from 1230pmish (see image) and needed to be started manually which was done at 3pmish (note that the Prod environment was updated at 1200pm)
- P30 / P10 / P19 schedule (VM30) occurred on 20 at 6pm - note that pending stuck occurred on P30 queue loader and then the other scheduled processes did not start so the schedule was manually restarted
- P13 Hazmat Ordering (VM17) occurred on 21 at 8am
- P6 - HR Allocation (VM00) - 27th May 6:30pm

IMPACT
Processes dont run on VM & no other processes can run on VM because its busy

ROOT-CAUSE
Potentially could be caused by environment reaching license limits

WORK-AROUND
- setup monitoring for when process is stuck in Pending for more then 30 minutes
- start process when issue identified or if process stuck in Pending notification is received

RESOLUTION
TBC","PROBLEM","Completed (old)","INFRA","processes stuck in ""pending"" status in the control room"
"233","BluePrism - Bug where leading spaces are removed from the item key","**Reproduction**
1) Add an item with the key "" Test"" to the queue.
2) The newly added item will have ""Test"" as the key.

**Impact**
Items may bypass duplication checks and get processed more than once.

For example, checking if an item with the key "" Test"" exists will always return false, as Blue Prism will store it as ""Test"".

**WORKAROUND**
Make sure to check for this when developing","PROBLEM","Completed (old)","BluePrism","Bug where leading spaces are removed from the item key"
"234","MS Excel VBO - May read in date values as ""MM/dd/yyyy"" instead of ""dd/MM/yyyy""","**ISSUE**
The _MS Excel VBO_ object (not to be confused with _MS Excel_) may convert date values to the format ""MM/dd/yyyy"" if the day is smaller than 12. For example, ""02/10/2019"" will be converted to ""10/02/2019"" when viewed by the object.

**IMPACT**

**ROOT-CAUSE**

**WORK-AROUND**
Use _MS Excel_, which is not affected by this problem.

Note that _MS Excel_ has other problems with reading in worksheets as collections that _MS Excel VBO_ does not have.

**RESOLUTION**
NA - follow workaround

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Completed (old)","MS","MS Excel May read in date values as ""MM/dd/yyyy"" instead of ""dd/MM/yyyy"""
"235","SITS Portal - system is not available around 12am (P55)","**ISSUE**
Cannot launch SITS Portal between 12am and 2am

**IMPACT**
no process can run during that period

**ROOT-CAUSE**
SITS Portal maintenance

**WORK-AROUND**
do not schedule process during that period

**RESOLUTION**
Confirm with ICT on the exact down period

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Completed (old)","SITS","SITS system is not available around 12am (P55)"
"236","SITS - Sits FS1 and FS2 is down causing processes to terminate","**ISSUE**
Sits FS1 and FS2 is down causing processes to terminate. Not all VMs are effected though (e.g. VM98 is still able to access SITS). The below VMs are effected:
- VM103
- VM16
- VM59
- VM58
- VM63
- VM79
- VM95

**IMPACT**
processes terminating

**ROOT-CAUSE**
TBC

**WORK-AROUND**
NA - need to wait until ICT resolve issue

**RESOLUTION**
1. notify business
2. work with ICT to resolve issue
3. rerun all processes that require rerun

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Completed (old)","SITS","Sits FS1 and FS2 is down causing processes to terminate"
"237","OUTLOOK - Outlook VBO Extended processes unable to send mail from Outlook VBO and it seems to be caused by the Outlook.exe windows security login","**ISSUE**
processes unable to send mail from Outlook VBO Extended and it seems to be caused by the Outlook.exe windows security login. When attempting to send mail, a blank page opens (screenshot not captured) thats linked to a Outlook windows task. After killing that task, the Outlook VBO Extended will recover from warning state and then attempt to send mail again. This cycle will continue until the process reaches its maximum retry logic. If you then try open up the Outlook application manually, the Outlook.exe Windows Security Pop-up is seen (see screenshot below).

**IMPACT**
process gets stuck in warning state until manually intervened

**ROOT-CAUSE**
TBC - likely because the Outlook VBO Extended does not have the functionality to handle for the windows security login so it fails

**WORK-AROUND**
1. kill Outlook task until process stops running
2. assess if process needs to be re-run
3. re-run if required

**RESOLUTION**
https://trello.com/c/HdPgryke/122-in02-vm-maintenance-develop-solution-for-automatically-performing-maintenance-checks-on-production-vm-runtime-resources

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Completed (old)","OUTLOOK","Outlook VBO Extended processes unable to send mail from Outlook VBO and it seems to be caused by the Outlook.exe windows security login"
"238","INFRA - ApiClient.dll is missing for Outlook","ISSUE
Can not start outlook due to ApiClient.dll missing error

IMPACT
Can not start outlook
P41, P15, P44 have been effected

ROOT-CAUSE
ApiClient.dll missing

RESOLUTION
1. get a copy of the ""ApiClient.dll"" file from a working VM
2. Navigate to ""C:\Program Files\Common Files\microsoft shared\ClickToRun"" on the broken VM
3. paste the ""ApiClient.dll"" file into the ""C:\Program Files\Common Files\microsoft shared\ClickToRun""","PROBLEM","Completed (old)","INFRA","ApiClient.dll is missing for Outlook"
"239","Outlook - the old Outlook object is causing processes to terminate","**ISSUE**
The old Outlook object is causing processes to terminate 

**IMPACT**
might fail to launch or terminate the outlook in some rare cases

**ROOT-CAUSE**
the object is not up to standard

**WORK-AROUND**
rerun process if needed

**RESOLUTION**
The object named ""Outlook"" only Launches and Terminates Outlook - this will be resolved for by this ticket https://trello.com/c/BF1r9rmd/1907-ins06-handle-for-windows-security-pop-up

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Completed (old)","Outlook","the old Outlook object is causing processes to terminate"
"240","Outlook - Unable to launch to Outlook with c2r32.dll error","ISSUE
Unable to launch to Outlook with c2r32.dll error

IMPACT
Cannot read email

ROOT-CAUSE
Missing Outlook DLL

WORKAROUND
1. navigate to the ""C:\Program Files\Common Files\microsoft shared\ClickToRun"" folder location
2. download the ""C2R32.dll"" attachment in this trello card
3. copy the ""C2R32.dll"" file into the ""C:\Program Files\Common Files\microsoft shared\ClickToRun"" folder location of the broken VM

RESOLUTION
https://trello.com/c/hZlWPvDx/1572-infra-build-sub-process-that-handles-for-outlook-issue and https://trello.com/c/HdPgryke/122-in02-vm-maintenance-develop-solution-for-automatically-performing-maintenance-checks-on-production-vm-runtime-resources","PROBLEM","Completed (old)","Outlook","Unable to launch to Outlook with c2r32.dll error"
"241","OUTLOOK - processes unable to run on other VMs sometimes because Outlook Profiles are not consistent across all VMs","**ISSUE**
processes unable to run on other VMs sometimes because Outlook Profiles are not consistent across all VMs

**IMPACT**
process terminates

**ROOT-CAUSE**
New Outlook profiles not being applied to all VMs as they are identified

**WORK-AROUND**
setup profiles as issue is identified

**RESOLUTION**
https://trello.com/c/HdPgryke/122-in02-vm-maintenance-develop-solution-for-automatically-performing-maintenance-checks-on-production-vm-runtime-resources and https://trello.com/c/wPmGudwd/1940-infra-generate-a-consolidated-list-of-prod-outlook-profiles

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Completed (old)","OUTLOOK","processes unable to run on other VMs sometimes because Outlook Profiles are not consistent across all VMs"
"242","Outlook - processes terminating when attempting to launch Outlook from Microsoft Sign In pop-up","**ISSUE**
processes terminating when attempting to launch Outlook from Microsoft Sign In pop-up

**IMPACT**
processes terminate

**ROOT-CAUSE**
Consolidated Outlook registry file was not properly configured

**WORK-AROUND**
Manually change outlook account back to blueprismbot on prod

**RESOLUTION**
reapply the updated consolidated prod outlook profile across all prod VMs

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Completed (old)","Outlook","processes terminating when attempting to launch Outlook from Microsoft Sign In pop-up"
"243","Outlook - Outlook will switch to a onprem legacy account on VM59 after OS patching","**ISSUE**
VM59 outlook will switch to a onprem account after certain OS patching

**IMPACT**
process on the VM cannot use outlook

**ROOT-CAUSE**
code logic of Outlook tool

**WORK-AROUND**
manually sign back in blueprismbot after OS patching

**RESOLUTION**
build the VM maintenance tool to automatically sign back in with blueprismbot credential (https://trello.com/c/BF1r9rmd/1907-ins06-handle-for-windows-security-pop-up)

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Completed (old)","Outlook","Outlook will switch to a onprem legacy account on VM59 after OS patching"
"244","Outlook - processes terminating after having problems attempting to launch Outlook","**ISSUE**
processes terminating after having problems attempting to launch Outlook

**IMPACT**
process terminates when attempting to interact with Outlook

**ROOT-CAUSE**
1. VM62 outlook will switch to on-prem outlook account after OS patching

**WORK-AROUND**
1. sign out and sign back in using blueprism.bot@sydney.edu.au

**RESOLUTION**
TBC

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Completed (old)","Outlook","processes terminating after having problems attempting to launch Outlook"
"245","IE - auto-complete pop-up occurring when Bots are working on IE related forms","**ISSUE**
auto-complete pop-up occurring when Bots are working on IE related forms

**IMPACT**
process terminates

**ROOT-CAUSE**
Due to an Internet Explorer auto-complete pop-up notification, the bot was unable to access the buttons on the page. See attached.

**WORK-AROUND**
Disable auto-complete notifications from IE using registry settings (https://blog.mindcore.dk/2013/04/do-you-want-autocomplete-to-remember.html)

**RESOLUTION**
https://trello.com/c/pBkYMQ8K/2264-ins12-internet-explorer-registries#

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Completed (old)","IE","auto-complete pop-up occurring when Bots are working on IE related forms"
"246","INFRA - Outlook outage causing multiple process stuck in warning stage","ISSUE
Multiple processes are stuck in warning stage

IMPACT
VMs are blocked 

ROOT-CAUSE
Outlook outage

RESOLUTION
Terminate Outlook and rerun the outlook client","PROBLEM","Completed (old)","INFRA","Outlook outage causing multiple process stuck in warning stage"
"247","INFRA - windows security pop-up effecting multiple processes","ISSUE
windows security pop-up effecting multiple processes

IMPACT
process terminated at the end before it could send output reports

ROOT-CAUSE
windows security login pop-up 

WORKAROUND 
login to VM --> use MCS\BluePrismBot credentials to manually login to windows security pop-up --> close Excel / Outlook and test if pop-up occurs when you re-open Excel (pop-up should no longer exist)

RESOLUTION
https://trello.com/c/HdPgryke/122-in02-vm-maintenance-develop-solution-for-automatically-performing-maintenance-checks-on-production-vm-runtime-resources","PROBLEM","Completed (old)","INFRA","windows security pop-up effecting multiple processes"
